2021-07-27 09:22:08,547 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:99)
2021-07-27 09:22:08,559 - [main] ERROR      | com.ly.p7.Poseidon.exceptions.DataNotFoundException          |   **--> user with id=4 not found in DataBase (DataNotFoundException.java:17)
2021-07-27 09:22:53,199 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:99)
2021-07-27 09:22:53,203 - [main] ERROR      | com.ly.p7.Poseidon.exceptions.DataNotFoundException          |   **--> user with id=4 not found in DataBase (DataNotFoundException.java:17)
2021-07-27 09:55:54,683 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:99)
2021-07-27 09:56:29,001 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 09:56:29,934 - [main] INFO       | org.hibernate.jpa.internal.util.LogHelper                    | HHH000204: Processing PersistenceUnitInfo [name: default] (LogHelper.java:31)
2021-07-27 09:56:29,991 - [main] INFO       | org.hibernate.Version                                        | HHH000412: Hibernate ORM core version 5.4.32.Final (Version.java:44)
2021-07-27 09:56:30,131 - [main] INFO       | org.hibernate.annotations.common.Version                     | HCANN000001: Hibernate Commons Annotations {5.1.2.Final} (JavaReflectionManager.java:56)
2021-07-27 09:56:30,617 - [main] INFO       | org.hibernate.dialect.Dialect                                | HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect (Dialect.java:175)
2021-07-27 09:56:31,270 - [main] INFO       | org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] (JtaPlatformInitiator.java:52)
2021-07-27 09:56:33,203 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:61)
2021-07-27 09:56:33,264 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser :fullNameFour -- userNameFour -- $2a$10$3XqZfMtR/eH3pqEd3O9Spuul4tC4K5fD72Twmb5YD4zU7gMAiRYH6 -- ADMIN --  (UserService.java:65)
2021-07-27 09:56:33,319 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch updateUser (UserService.java:79)
2021-07-27 09:56:33,320 - [main] ERROR      | com.ly.p7.Poseidon.exceptions.DataNotFoundException          |   **--> user with id=4 not found in DataBase (DataNotFoundException.java:17)
2021-07-27 09:56:33,322 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch getAllUser (UserService.java:43)
2021-07-27 09:56:33,327 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:99)
2021-07-27 09:56:33,327 - [main] ERROR      | com.ly.p7.Poseidon.exceptions.DataNotFoundException          |   **--> user with id=2 not found in DataBase (DataNotFoundException.java:17)
2021-07-27 09:56:33,329 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch updateUser (UserService.java:79)
2021-07-27 09:56:33,392 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:99)
2021-07-27 09:56:33,393 - [main] INFO       | com.ly.p7.Poseidon.tool.DtoBuilder                           |  ---> Launch buildUser (ModelBuilder.java:29)
2021-07-27 10:00:02,095 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> getUserById (UserService.java:115)
2021-07-27 10:00:02,099 - [main] ERROR      | com.ly.p7.Poseidon.exceptions.DataNotFoundException          |   **--> user with id=0 not found in DataBase (DataNotFoundException.java:17)
2021-07-27 10:06:12,553 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> getUserById (UserService.java:115)
2021-07-27 10:06:25,434 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-27 10:06:26,359 - [main] INFO       | org.hibernate.jpa.internal.util.LogHelper                    | HHH000204: Processing PersistenceUnitInfo [name: default] (LogHelper.java:31)
2021-07-27 10:06:26,428 - [main] INFO       | org.hibernate.Version                                        | HHH000412: Hibernate ORM core version 5.4.32.Final (Version.java:44)
2021-07-27 10:06:26,560 - [main] INFO       | org.hibernate.annotations.common.Version                     | HCANN000001: Hibernate Commons Annotations {5.1.2.Final} (JavaReflectionManager.java:56)
2021-07-27 10:06:27,058 - [main] INFO       | org.hibernate.dialect.Dialect                                | HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect (Dialect.java:175)
2021-07-27 10:06:27,720 - [main] INFO       | org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] (JtaPlatformInitiator.java:52)
2021-07-27 10:06:29,670 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:61)
2021-07-27 10:06:29,730 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser :fullNameFour -- userNameFour -- $2a$10$ctLZl3VZHF87oT7.Q9OVAu.aA7sBwv3oAFVOnNL/zdf5g5vqFrrFS -- ADMIN --  (UserService.java:65)
2021-07-27 10:06:29,794 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch updateUser (UserService.java:79)
2021-07-27 10:06:29,795 - [main] ERROR      | com.ly.p7.Poseidon.exceptions.DataNotFoundException          |   **--> user with id=4 not found in DataBase (DataNotFoundException.java:17)
