2021-07-28 09:54:54,257 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-28 09:54:55,565 - [main] INFO       | org.hibernate.jpa.internal.util.LogHelper                    | HHH000204: Processing PersistenceUnitInfo [name: default] (LogHelper.java:31)
2021-07-28 09:54:55,612 - [main] INFO       | org.hibernate.Version                                        | HHH000412: Hibernate ORM core version 5.4.32.Final (Version.java:44)
2021-07-28 09:54:55,725 - [main] INFO       | org.hibernate.annotations.common.Version                     | HCANN000001: Hibernate Commons Annotations {5.1.2.Final} (JavaReflectionManager.java:56)
2021-07-28 09:54:56,107 - [main] INFO       | org.hibernate.dialect.Dialect                                | HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect (Dialect.java:175)
2021-07-28 09:54:56,688 - [main] INFO       | org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator | HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] (JtaPlatformInitiator.java:52)
2021-07-28 09:55:13,290 - [http-nio-8080-exec-7] INFO       | UserController                 | --> Launch /user/list (UserController.java:39)
2021-07-28 09:55:13,290 - [http-nio-8080-exec-7] INFO       | UserController                 |  ---> Launch getAllUser (UserService.java:43)
2021-07-28 09:55:13,411 - [http-nio-8080-exec-7] INFO       | UserController                 |  --->   user/list - OK - (UserController.java:41)
2021-07-28 09:55:26,449 - [http-nio-8080-exec-8] INFO       | BidListController              | --> Launch /bidList/list (BidListController.java:35)
2021-07-28 09:55:28,462 - [http-nio-8080-exec-9] INFO       | BidListController              | --> Launch /bidList/add (BidListController.java:42)
2021-07-28 09:55:33,305 - [http-nio-8080-exec-10] INFO       | BidListController              | --> Launch /bidList/validate (BidListController.java:48)
2021-07-28 09:56:15,312 - [http-nio-8080-exec-1] INFO       | BidListController              | --> Launch /bidList/validate (BidListController.java:48)
2021-07-28 09:56:33,124 - [http-nio-8080-exec-2] INFO       | BidListController              | --> Launch /bidList/validate (BidListController.java:48)
2021-07-28 09:56:57,037 - [http-nio-8080-exec-3] INFO       | BidListController              | --> Launch /bidList/validate (BidListController.java:48)
2021-07-28 09:57:10,359 - [http-nio-8080-exec-4] INFO       | BidListController              | --> Launch /bidList/validate (BidListController.java:48)
2021-07-28 09:57:16,881 - [http-nio-8080-exec-5] INFO       | BidListController              | --> Launch /bidList/add (BidListController.java:42)
2021-07-28 09:57:17,669 - [http-nio-8080-exec-6] INFO       | BidListController              | --> Launch /bidList/list (BidListController.java:35)
2021-07-28 09:57:19,251 - [http-nio-8080-exec-7] INFO       | BidListController              | --> Launch /bidList/list (BidListController.java:35)
2021-07-28 09:57:20,464 - [http-nio-8080-exec-8] INFO       | BidListController              | --> Launch /bidList/list (BidListController.java:35)
2021-07-28 09:57:21,201 - [http-nio-8080-exec-9] INFO       | BidListController              | --> Launch /bidList/list (BidListController.java:35)
2021-07-28 10:00:31,361 - [background-preinit] INFO       | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 6.1.6.Final (Version.java:21)
2021-07-28 10:00:32,683 - [main] INFO       | org.hibernate.jpa.internal.util.LogHelper                    | HHH000204: Processing PersistenceUnitInfo [name: default] (LogHelper.java:31)
2021-07-28 10:00:32,733 - [main] INFO       | org.hibernate.Version                                        | HHH000412: Hibernate ORM core version 5.4.32.Final (Version.java:44)
2021-07-28 10:00:32,845 - [main] INFO       | org.hibernate.annotations.common.Version                     | HCANN000001: Hibernate Commons Annotations {5.1.2.Final} (JavaReflectionManager.java:56)
